"No","Protocol","Type","Grant Amount - ARB","Claimed Grant Amount - ARB","TVL","Volume 7D-MA","Fee 7D-MA","DAU 7D-MA"
1,"Gains Network","Perpetuals",4500000,4500000,28856596.36408432,106887426.78512317,71794.93526836511,175.1
2,"Stargate Finance","Bridge",2000000,0,,,,
3,"Synapse","Bridge",2000000,2000000,,42356167.34955667,15965.433779666662,1067.5
4,"Wormhole","Bridge",1800000,771429,9587310.645707,1450017.265589633,207.17210603333305,92.03333333333333
5,"Magpie","Yield",1250000,1250000,160942268.724,,34233.088200000035,413.23333333333335
6,"Ramses","DEX",1248000,1248000,,44420519.36584649,22832.837742393876,1407.1
7,"Boost (prev. RabbitHole)","Community",1000000,1000000,,,7269.530612274996,16275.1
8,"Vela","Perpetuals",1000000,1000000,10990642.22,27262829.01043333,15347.245066666663,181
9,"WOOFi","DEX",1000000,1000000,25948695.467,174993805.5763667,2409.663800000002,3313.766666666667
10,"dForce","Lending",1000000,1000000,28795907.824,,,26.633333333333333
11,"Shell Protocol","DEX",750000,0,1125960.5440695335,81414.76204558164,92.2687288709578,70.1
12,"Notional","Lending",500000,500000,15858679.616,530879.7146666667,2281.7421000000004,69.96666666666667
13,"Sanko","Gaming",500000,428574,,,,
14,"Thales","Derivatives",500000,428574,1766544.119,69349.67903333333,1678.8517999999995,184.53333333333333
15,"unshETH","LSD",375000,375000,,,,
16,"Realm","Gaming",300000,257148,661458.672,2473.5943333333325,,653.7333333333333
17,"Rodeo Finance","Yield",250000,0,,,,
18,"DefiEdge","Yield Aggregator",200000,200000,,,,
19,"Jojo Exchange","Perpetuals",200000,200000,816274.5173850972,3546097.31314835,1419.4356161499995,159.66666666666666
20,"Savvy","CDP / Stables",200000,200000,,,,
21,"StakeDAO","Yield Aggregator",200000,0,,,,
22,"Thetanuts Finance","Options",200000,200000,7431384.845,128537.99110000025,78.70463333333335,133.96666666666667
23,"Tide","Community",80000,80000,3210.021,,,58.266666666666666
24,"Furucombo","Community",59500,51000,,1812.7699567633022,0.06497209670266807,1.2333333333333334
25,"Solv Protocol","Yield Aggregator",50000,150000,104194226.739,540503.0073000002,-2.5646151868841116e-14,22.266666666666666
26,"Tales of Elleria","Gaming",50000,50000,,199.16470000000044,441.4082,34.6
