"No","Protocol","Type","Grant Amount - ARB","Claimed Grant Amount - ARB","TVL","Volume 30D-MA","Fee 30D-MA","DAU 30D-MA"
1,"GMX","Perpetuals",12000000,12000000,448974865.36311215,428669302.1846979,456613.6976523167,2150.6666666666665
2,"MUX Protocol","Perpetuals",6000000,6000000,46892742.815130435,253093541.50385585,207820.38730077064,208
3,"Camelot","DEX",3090000,3090000,128973684.01457782,104439377.07808357,147498.761900119,10207.266666666666
4,"Vertex","Perpetuals",3000000,3000000,74409462.79513098,486610371.2047435,68634.78230185233,396.2
5,"Radiant","Lending",2852044,2852044,139907701.22508228,6824414.128535648,28646.030620135414,1221.4666666666667
6,"JonesDAO","Yield Aggregator",2000000,2000000,0,26689.199757636336,2323.437995317209,18
7,"Pendle","Yield",2000000,2000000,546021376.2070072,50168619.248449676,6561.922678471762,1789.4333333333334
8,"Trader Joe","DEX",1510000,1510000,45246960.5333205,63402436.518751234,65650.30695080668,3285.633333333333
9,"Abracadabra","CDP / Stables",1500000,1500000,20217948.917094734,88840.10557492782,3443.9589436289048,12.566666666666666
10,"Dopex","Options",1500000,1500000,19915.470553919786,145975.55660698697,109.89740403909076,
11,"Frax Finance","CDP / Stables",1500000,1500000,36009343.99857828,2970516.7680677455,,276.9
12,"KyberSwap","DEX",1500000,428572,,,,
13,"Balancer","DEX",1200000,1200000,148608207.64,16589348.894466667,16057.805100000003,5730.833333333333
14,"Dolomite","Lending",1000000,1000000,19875356.295,4871374.449433333,-6.063298011819522e-14,120.06666666666666
15,"Silo","Lending",1000000,1000000,91234060.89625001,10647158.58366667,,288.46666666666664
16,"Socket Protocol","Bridge",1000000,1000000,,18755839.76797215,,3483.633333333333
17,"Premia","Options",900000,900000,3539401,1134944.8,2193.3333333333335,30
18,"Gamma","Yield Aggregator",750000,750000,29699501.213059302,79493205.97522376,91886.28802399748,144.26666666666668
19,"Lodestar","Lending",750000,750000,40303785.85815376,2075789.4705402,1921.8654004666062,47.266666666666666
20,"Perennial","Perpetuals",750000,750000,3924916.447,,,22.166666666666668
21,"Umami Finance","Yield Aggregator",750000,750000,833159.9355704621,70071.35834340319,44.80243677459096,6.172413793103448
22,"Angle","CDP / Stables",700000,700000,2994042.9189574,321698.38542589336,,
23,"Galxe","Others",500000,285716,,,,6324.466666666666
24,"OpenOcean","DEX Aggregator",500000,500000,,,,
25,"Rysk","Options",500000,500000,1076811.2134999963,665469.7697766676,191.14233333333354,6.033333333333333
26,"WINR","Gambling",500000,483672,2578450.1977694915,7918996.833427887,285.1035506990451,14.4
27,"Good Entry","Options",200000,142860,133306.6579263882,8.776623872108758e-12,48.88699006255227,0
28,"Tally","Others",200000,0,,,,
29,"Timeswap","Yield",200000,200000,,,,
30,"Stella","Yield Aggregator",186000,186000,6907200,,194.4061135292449,21.966666666666665
31,"StableLab","Stables",20000,27145,,,,
